Episode,Reward,Success,Timeout
1,-9.999999776482582,0,1
2,-9.999999776482582,0,1
3,-9.999999776482582,0,1
4,-9.999999776482582,0,1
5,-9.999999776482582,0,1
6,-9.999999776482582,0,1
7,-9.999999776482582,0,1
8,-9.999999776482582,0,1
9,-9.999999776482582,0,1
10,-9.999999776482582,0,1
11,-9.999999776482582,0,1
12,-9.999999776482582,0,1
13,-9.999999776482582,0,1
14,-9.999999776482582,0,1
15,-9.999999776482582,0,1
16,-9.999999776482582,0,1
17,-9.999999776482582,0,1
18,-9.999999776482582,0,1
19,-9.999999776482582,0,1
20,-9.999999776482582,0,1
21,-9.999999776482582,0,1
22,-9.999999776482582,0,1
23,-9.999999776482582,0,1
24,-9.999999776482582,0,1
25,-9.999999776482582,0,1
26,-9.999999776482582,0,1
27,-9.999999776482582,0,1
28,-9.999999776482582,0,1
29,-9.999999776482582,0,1
30,-9.999999776482582,0,1
31,-9.999999776482582,0,1
32,-9.999999776482582,0,1
33,-9.999999776482582,0,1
34,-9.999999776482582,0,1
35,-9.999999776482582,0,1
36,-9.999999776482582,0,1
37,-9.999999776482582,0,1
38,-9.999999776482582,0,1
39,-9.999999776482582,0,1
40,-9.999999776482582,0,1
41,-9.999999776482582,0,1
42,-9.999999776482582,0,1
43,-9.999999776482582,0,1
44,-9.999999776482582,0,1
45,-9.999999776482582,0,1
46,-9.999999776482582,0,1
47,-9.999999776482582,0,1
48,-9.999999776482582,0,1
49,-9.999999776482582,0,1
50,-9.999999776482582,0,1
51,-9.999999776482582,0,1
52,-9.999999776482582,0,1
53,-9.999999776482582,0,1
54,-9.999999776482582,0,1
55,-9.999999776482582,0,1
56,-9.999999776482582,0,1
57,-9.999999776482582,0,1
58,-9.999999776482582,0,1
59,-9.999999776482582,0,1
60,-9.999999776482582,0,1
61,-9.999999776482582,0,1
62,-9.999999776482582,0,1
63,-9.999999776482582,0,1
64,-9.999999776482582,0,1
65,-9.999999776482582,0,1
66,-9.999999776482582,0,1
67,-9.999999776482582,0,1
68,-9.999999776482582,0,1
69,-9.999999776482582,0,1
70,-9.999999776482582,0,1
71,-9.999999776482582,0,1
72,-9.999999776482582,0,1
73,-9.999999776482582,0,1
74,-9.999999776482582,0,1
75,-9.999999776482582,0,1
76,-9.999999776482582,0,1
77,-9.999999776482582,0,1
78,-9.999999776482582,0,1
79,-9.999999776482582,0,1
80,-9.999999776482582,0,1
81,-9.999999776482582,0,1
82,-9.999999776482582,0,1
83,-9.999999776482582,0,1
84,-9.999999776482582,0,1
85,-9.999999776482582,0,1
86,-9.999999776482582,0,1
87,-9.999999776482582,0,1
88,-9.999999776482582,0,1
89,-9.999999776482582,0,1
90,-9.999999776482582,0,1
91,-9.999999776482582,0,1
92,-9.999999776482582,0,1
93,-9.999999776482582,0,1
94,-9.999999776482582,0,1
95,-9.999999776482582,0,1
96,-9.999999776482582,0,1
97,-9.999999776482582,0,1
98,-9.999999776482582,0,1
99,-9.999999776482582,0,1
100,-9.999999776482582,0,1
