#{"t_start": 1747102976.8320699, "env_id": "None"}
r,l,t
-5.33,87,223.129976
-4.33,85,223.245907
-21.91,183,224.062479
-12.17,159,224.21471
-5.59,124,225.37572
-19.67,199,225.832883
-11.11,143,226.800656
-6.29,115,226.917547
-13.63,117,227.017596
-14.03,157,228.812801
-14.03,165,229.720061
-20.59,176,230.248268
-7.65,115,230.545714
-10.17,150,230.679753
-6.55,92,230.755659
-3.93,67,232.475069
-10.65,91,232.706591
-9.01,104,232.969451
-6.03,70,233.032926
-9.99,156,233.352303
-8.77,91,234.101905
-12.77,159,234.402844
-20.45,200,235.418607
-5.37,83,235.859768
-12.29,97,235.937535
-10.81,140,236.245772
-7.51,120,236.468831
-3.11,61,236.519843
-12.97,141,237.182726
-16.05,196,237.502057
-0.45,40,238.4298
-9.91,126,238.737525
-9.49,130,238.969764
-11.37,92,239.451541
-17.51,118,240.131462
-6.83,93,240.342869
-2.25,46,240.756778
-11.59,186,241.281934
-6.59,107,241.509527
-9.95,130,242.345764
-8.63,85,243.14991
-8.03,104,243.679832
-8.83,182,245.125877
-11.83,139,245.724715
-4.05,60,245.971708
-2.73,72,247.134524
-10.03,122,247.273702
-15.57,167,247.441771
-5.55,85,247.508667
-16.17,178,248.304662
-14.87,121,248.411472
-6.69,87,248.859029
-11.41,126,249.133742
-4.75,92,249.680387
-14.99,193,249.871875
-13.27,163,250.205602
-9.27,133,251.657017
-11.55,151,252.815674
-2.85,76,253.906535
-13.17,172,256.330758
-18.17,152,256.961751
-9.53,118,257.722843
-16.39,134,258.664828
-12.59,198,258.876096
-17.19,174,260.112806
-2.77,38,260.410858
-13.03,152,260.559007
-4.59,95,260.643818
-12.47,137,262.290178
-8.55,140,262.93722
-8.69,94,263.019735
-14.75,180,263.603829
-4.63,47,263.773571
-8.07,89,264.235036
-14.67,156,265.110481
-11.89,120,266.022899
-8.23,108,266.779929
-8.97,100,267.283023
-7.83,180,267.964016
-12.79,153,268.182999
-6.09,98,268.534672
-16.25,200,268.650853
-7.97,142,269.475303
-15.57,164,269.719662
-13.13,83,270.056726
-6.99,87,270.422738
-3.43,118,270.904838
-12.21,122,271.127697
-12.39,113,271.208962
-8.29,130,271.724958
-0.75,32,271.886748
-7.61,144,271.975882
-15.65,164,272.364032
-6.27,83,272.41683
-2.59,39,273.262045
-5.63,98,273.336029
-14.25,165,273.582681
-4.49,52,273.611602
-11.49,200,273.730939
-13.67,189,274.928783
-7.81,82,275.690128
